customer_id,age,gender,region,plan_type,tenure_months,days_since_last_purchase,purchase_frequency,avg_order_value,total_spend,login_frequency_monthly,email_open_rate,pages_per_session,support_tickets,avg_resolution_days,complaints,churn,rfm_score,engagement_score,support_risk,gender_enc,region_enc,plan_type_enc,churn_probability,risk_tier
CUST0001,56,Male,North,Basic,33,114,2.8,112.24,864.25,2.4,0.16,2.8,0,2.3,0,1,0.16253333333333334,0.12533333333333332,0.16428571428571428,1,1,0,0.9867,High risk
CUST0002,69,Male,South,Basic,24,1,1.7,64.53,219.4,16.8,0.09,1.0,3,0.5,0,1,0.48019166666666674,0.32033333333333336,0.03571428571428571,1,2,0,0.6634,Medium risk
CUST0003,46,Male,West,Premium,44,102,9.8,49.73,1786.96,1.6,0.12,1.0,0,1.3,1,1,0.2729416666666667,0.076,2.092857142857143,1,3,1,0.93,High risk
CUST0004,32,Female,North,Premium,11,38,1.7,87.1,135.73,2.6,0.59,3.3,5,2.2,2,1,0.3756666666666667,0.2643333333333333,4.1571428571428575,0,1,1,0.9047,High risk
CUST0005,60,Male,West,Standard,17,85,2.4,81.07,275.64,20.3,0.33,3.0,1,2.9,0,0,0.22622499999999998,0.4773333333333334,0.20714285714285713,1,3,2,0.2333,Low risk
CUST0006,25,Male,South,Premium,4,112,4.5,91.26,136.89,3.8,0.52,4.2,2,1.2,1,1,0.18146666666666667,0.2753333333333333,2.085714285714286,1,2,1,0.9838,High risk
CUST0007,38,Male,North,Standard,47,29,3.1,49.81,604.78,3.5,0.08,7.4,0,2.0,1,1,0.3990916666666667,0.18100000000000002,2.142857142857143,1,1,2,0.7851,High risk
CUST0008,56,Female,East,Standard,25,5,1.7,107.93,382.25,1.5,0.38,5.1,1,1.6,0,0,0.503025,0.20699999999999996,0.1142857142857143,0,0,2,0.0379,Low risk
CUST0009,36,Female,South,Basic,30,113,2.3,60.8,349.6,6.0,0.45,3.7,1,0.5,1,1,0.11425,0.2843333333333333,2.0357142857142856,0,2,0,0.9747,High risk
CUST0010,40,Male,East,Premium,9,74,6.3,95.42,450.86,0.1,0.48,6.4,0,2.7,1,0,0.34309999999999996,0.231,2.192857142857143,1,0,1,0.1849,Low risk
CUST0011,28,Male,West,Basic,21,92,1.3,51.09,116.23,0.3,0.08,4.3,5,0.5,2,1,0.15865833333333332,0.08633333333333335,4.035714285714286,1,3,0,0.994,High risk
CUST0012,28,Male,West,Premium,20,21,0.6,154.44,154.44,4.6,0.55,7.2,2,0.5,0,0,0.46920000000000006,0.33766666666666667,0.03571428571428571,1,3,1,0.0502,Low risk
CUST0013,41,Male,South,Premium,19,114,1.5,95.87,227.69,2.1,0.56,2.7,2,1.2,1,1,0.12614166666666668,0.23900000000000002,2.085714285714286,1,2,1,0.9758,High risk
